epoch,loss,dev_auc,dev_acc,dev_f1,loss_clean,loss_adv,loss_spec
1,0.3355,0.9897,0.9474,0.9618,0.1794,1.5569,0.0038
2,0.2805,0.9900,0.9511,0.9646,0.1771,1.0299,0.0038
3,0.2584,0.9882,0.9467,0.9615,0.1686,0.8940,0.0038
4,0.2489,0.9903,0.9509,0.9642,0.1665,0.8203,0.0038
5,0.2427,0.9907,0.9506,0.9640,0.1639,0.7850,0.0038
6,0.2313,0.9890,0.9322,0.9493,0.1559,0.7500,0.0038
7,0.2271,0.9912,0.9526,0.9655,0.1524,0.7428,0.0038
8,0.2265,0.9895,0.9495,0.9641,0.1538,0.7235,0.0038
9,0.2215,0.9880,0.9397,0.9556,0.1498,0.7127,0.0038
10,0.2202,0.9896,0.9439,0.9587,0.1482,0.7161,0.0038
