nohup: ignoring input
Disabling PyTorch because PyTorch >= 2.4 is required but found 2.2.2
PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
Loaded Phase 2 checkpoint — Dev AUC 0.9912  Dev Acc 0.9530
All 59 param groups unfrozen for Phase 3

=================================================================
  AudioGuard RawNet3-FSAT — Phase 3 Adversarial Training
=================================================================
Device  : cuda  |  AMP: True
FGSM ε=0.005  PGD ε=0.005/3-step  F-SAT ε=0.01  adv_ratio=0.4

Scanning data (cap 80k orig, all hard)...
  for_dataset                                   real= 84,756  fake= 84,980
  realvsfake_voice                              real=     20  fake=     60
  wavefake                                      real= 13,100  fake=134,266
Mixed   : 80,000 total samples (for_dataset + realvsfake_voice + wavefake)
Split   : Train 64,002 | Dev 7,999 | Eval 7,999

=================================================================
  Training
=================================================================
  Ep1 step 50/2667 | loss 0.1058 (clean 0.0707 adv 0.3514)
  Ep1 step 100/2667 | loss 0.2090 (clean 0.1380 adv 0.7106)
  Ep1 step 150/2667 | loss 0.0434 (clean 0.0019 adv 0.4144)
  Ep1 step 200/2667 | loss 0.1275 (clean 0.0498 adv 0.7770)
  Ep1 step 250/2667 | loss 0.1795 (clean 0.1143 adv 0.6526)
  Ep1 step 300/2667 | loss 0.1286 (clean 0.0650 adv 0.6366)
  Ep1 step 350/2667 | loss 0.1202 (clean 0.0710 adv 0.4920)
  Ep1 step 400/2667 | loss 0.1359 (clean 0.1017 adv 0.3426)
  Ep1 step 450/2667 | loss 0.1813 (clean 0.1186 adv 0.6261)
  Ep1 step 500/2667 | loss 0.0934 (clean 0.0381 adv 0.5532)
  Ep1 step 550/2667 | loss 0.1381 (clean 0.0916 adv 0.4650)
  Ep1 step 600/2667 | loss 0.0904 (clean 0.0495 adv 0.4087)
  Ep1 step 650/2667 | loss 0.0983 (clean 0.0425 adv 0.5586)
  Ep1 step 700/2667 | loss 0.0245 (clean 0.0128 adv 0.1167)
  Ep1 step 750/2667 | loss 0.0562 (clean 0.0203 adv 0.3590)
  Ep1 step 800/2667 | loss 0.1013 (clean 0.0754 adv 0.2595)
  Ep1 step 850/2667 | loss 0.1132 (clean 0.0432 adv 0.7006)
  Ep1 step 900/2667 | loss 0.0745 (clean 0.0195 adv 0.5500)
  Ep1 step 950/2667 | loss 0.0272 (clean 0.0180 adv 0.0915)
  Ep1 step 1000/2667 | loss 0.0483 (clean 0.0294 adv 0.1892)
  Ep1 step 1050/2667 | loss 0.0927 (clean 0.0134 adv 0.7932)
  Ep1 step 1100/2667 | loss 0.0235 (clean 0.0098 adv 0.1371)
  Ep1 step 1150/2667 | loss 0.0894 (clean 0.0427 adv 0.4675)
  Ep1 step 1200/2667 | loss 0.0809 (clean 0.0206 adv 0.6032)
  Ep1 step 1250/2667 | loss 0.2006 (clean 0.1546 adv 0.4604)
  Ep1 step 1300/2667 | loss 0.0242 (clean 0.0069 adv 0.1727)
  Ep1 step 1350/2667 | loss 0.1476 (clean 0.1199 adv 0.2764)
  Ep1 step 1400/2667 | loss 0.1012 (clean 0.0622 adv 0.3898)
  Ep1 step 1450/2667 | loss 0.1052 (clean 0.0645 adv 0.4069)
  Ep1 step 1500/2667 | loss 0.0379 (clean 0.0216 adv 0.1627)
  Ep1 step 1550/2667 | loss 0.2010 (clean 0.1304 adv 0.7055)
  Ep1 step 1600/2667 | loss 0.0317 (clean 0.0187 adv 0.1304)
  Ep1 step 1650/2667 | loss 0.0992 (clean 0.0508 adv 0.4843)
  Ep1 step 1700/2667 | loss 0.2797 (clean 0.2112 adv 0.6850)
  Ep1 step 1750/2667 | loss 0.0379 (clean 0.0065 adv 0.3140)
  Ep1 step 1800/2667 | loss 0.0706 (clean 0.0463 adv 0.2424)
  Ep1 step 1850/2667 | loss 0.0419 (clean 0.0216 adv 0.2027)
  Ep1 step 1900/2667 | loss 0.0352 (clean 0.0258 adv 0.0938)
  Ep1 step 1950/2667 | loss 0.0213 (clean 0.0063 adv 0.1506)
  Ep1 step 2000/2667 | loss 0.0358 (clean 0.0157 adv 0.2012)
  Ep1 step 2050/2667 | loss 0.0476 (clean 0.0235 adv 0.2409)
  Ep1 step 2100/2667 | loss 0.0442 (clean 0.0202 adv 0.2398)
  Ep1 step 2150/2667 | loss 0.0577 (clean 0.0465 adv 0.1121)
  Ep1 step 2200/2667 | loss 0.0392 (clean 0.0202 adv 0.1900)
  Ep1 step 2250/2667 | loss 0.1082 (clean 0.0718 adv 0.3638)
  Ep1 step 2300/2667 | loss 0.0593 (clean 0.0323 adv 0.2701)
  Ep1 step 2350/2667 | loss 0.0507 (clean 0.0275 adv 0.2323)
  Ep1 step 2400/2667 | loss 0.1350 (clean 0.0995 adv 0.3544)
  Ep1 step 2450/2667 | loss 0.0885 (clean 0.0577 adv 0.3079)
  Ep1 step 2500/2667 | loss 0.3014 (clean 0.2424 adv 0.5902)
  Ep1 step 2550/2667 | loss 0.0305 (clean 0.0186 adv 0.1192)
  Ep1 step 2600/2667 | loss 0.1226 (clean 0.0782 adv 0.4441)
  Ep1 step 2650/2667 | loss 0.1245 (clean 0.0979 adv 0.2662)
Ep 01/6 | Loss 0.0939 | AUC 0.9854 | Acc 0.9247 | F1 0.9437  ✓ saved
  Ep2 step 50/2667 | loss 0.1268 (clean 0.0833 adv 0.4352)
  Ep2 step 100/2667 | loss 0.0367 (clean 0.0176 adv 0.1910)
  Ep2 step 150/2667 | loss 0.0578 (clean 0.0410 adv 0.1674)
  Ep2 step 200/2667 | loss 0.1356 (clean 0.1096 adv 0.2596)
  Ep2 step 250/2667 | loss 0.0432 (clean 0.0123 adv 0.3088)
  Ep2 step 300/2667 | loss 0.0898 (clean 0.0509 adv 0.3888)
  Ep2 step 350/2667 | loss 0.0591 (clean 0.0302 adv 0.2885)
  Ep2 step 400/2667 | loss 0.0354 (clean 0.0084 adv 0.2703)
  Ep2 step 450/2667 | loss 0.0345 (clean 0.0283 adv 0.0620)
  Ep2 step 500/2667 | loss 0.0644 (clean 0.0553 adv 0.0913)
  Ep2 step 550/2667 | loss 0.0539 (clean 0.0306 adv 0.2330)
  Ep2 step 600/2667 | loss 0.0311 (clean 0.0228 adv 0.0834)
  Ep2 step 650/2667 | loss 0.0635 (clean 0.0309 adv 0.3253)
  Ep2 step 700/2667 | loss 0.0538 (clean 0.0223 adv 0.3145)
  Ep2 step 750/2667 | loss 0.0479 (clean 0.0279 adv 0.1999)
  Ep2 step 800/2667 | loss 0.0889 (clean 0.0487 adv 0.4022)
  Ep2 step 850/2667 | loss 0.0701 (clean 0.0403 adv 0.2985)
  Ep2 step 900/2667 | loss 0.0705 (clean 0.0461 adv 0.2435)
  Ep2 step 950/2667 | loss 0.1492 (clean 0.1196 adv 0.2966)
  Ep2 step 1000/2667 | loss 0.0489 (clean 0.0231 adv 0.2578)
  Ep2 step 1050/2667 | loss 0.0341 (clean 0.0111 adv 0.2304)
  Ep2 step 1100/2667 | loss 0.0309 (clean 0.0196 adv 0.1135)
