epoch,tr_loss,tr_acc,tr_auc,dv_acc,dv_auc
1,0.3844,0.8516,0.9333,0.9041,0.9743
2,0.2432,0.9132,0.9758,0.9312,0.9887
3,0.1942,0.9365,0.9854,0.9666,0.9952
4,0.1669,0.9482,0.9895,0.9773,0.9972
5,0.1479,0.9554,0.9917,0.6988,0.9876
6,0.1355,0.9612,0.9934,0.4745,0.9825
7,0.1225,0.9663,0.9949,0.9772,0.9970
8,0.1156,0.9677,0.9953,0.9426,0.9988
9,0.1088,0.9712,0.9959,0.9493,0.9968
10,0.1048,0.9723,0.9964,0.9522,0.9978
11,0.0997,0.9746,0.9969,0.9530,0.9975
12,0.0940,0.9757,0.9971,0.9052,0.9936
13,0.0912,0.9776,0.9972,0.8998,0.9962
14,0.0862,0.9791,0.9977,0.9487,0.9985
15,0.0827,0.9798,0.9979,0.9587,0.9978
16,0.0796,0.9817,0.9979,0.9394,0.9992
17,0.0793,0.9812,0.9980,0.3426,0.7204
18,0.0808,0.9816,0.9980,0.9818,0.9992
19,0.0705,0.9838,0.9985,0.7068,0.9415
20,0.0738,0.9835,0.9983,0.3807,0.8925
21,0.0661,0.9854,0.9986,0.8544,0.9961
22,0.0666,0.9850,0.9986,0.7740,0.9894
23,0.0645,0.9855,0.9986,0.8528,0.9959
24,0.0592,0.9866,0.9988,0.4354,0.8562
25,0.0585,0.9871,0.9989,0.9665,0.9990
26,0.0576,0.9877,0.9988,0.9892,0.9995
27,0.0522,0.9884,0.9991,0.9098,0.9942
28,0.0502,0.9887,0.9992,0.8470,0.9515
29,0.0513,0.9888,0.9991,0.9090,0.9758
30,0.0507,0.9890,0.9992,0.9298,0.9816
31,0.0480,0.9893,0.9992,0.9583,0.9995
