epoch,train_loss,dv_auc,dv_acc,dv_f1,dv_precision,dv_recall
1,0.1448,0.9928,0.9675,0.8997,0.8704,0.9312
2,0.0804,0.9918,0.9689,0.9043,0.8734,0.9374
3,0.0655,0.9936,0.9711,0.9114,0.8754,0.9504
4,0.0559,0.9928,0.9706,0.9106,0.8686,0.9569
5,0.0503,0.9935,0.9692,0.9066,0.8639,0.9538
6,0.0449,0.9933,0.9699,0.9074,0.8755,0.9418
7,0.0406,0.9939,0.9694,0.9073,0.8631,0.9564
8,0.0374,0.9918,0.9702,0.9078,0.8807,0.9367
8,0.1142,0.9789,0.9498,0.9694,0.9711,0.9677
9,0.0807,0.9760,0.9544,0.9723,0.9716,0.9730
10,0.0717,0.9634,0.9424,0.9655,0.9535,0.9777
11,0.0645,0.9628,0.9370,0.9618,0.9578,0.9660
12,0.0602,0.9642,0.9323,0.9586,0.9641,0.9532
